fy,fund,agency,source,interfund_trans,from_fund,source_name,receipts,data_source,fund_name,agency_name,fund_cat,fund_cat_name.x,fund_ab,fund_ioc,fund_re,a_end,in_ff,fund_name_ab,fund_category,fund_cat_name.y,in_ff_rev,in_ff_exp,source_name_AWM,rev_type,rev_type_name,amnesty,local,type_assigned
2022,0324,588,2178,NA,NA,FEDERAL STIMULUS PACKAGE,8484659729.93,NA,STATE CURE,IL EMERGENCY MANAGEMENT AGCY,NA,NA,0324-B,0324,2,NA,1,STATE CURE,D,Special State Funds,0,1,FEDERAL STIMULUS PACKAGE,57,Federal - Other,NA,NA,NA
2022,0793,478,0618,NA,NA,HEALTH AND HUMAN SERVICES,8407240756,NA,HEALTHCARE PROVIDER RELIEF,HEALTHCARE & FAMILY SERVICES,NA,NA,0793,0793,0,NA,1,HEALTHCARE PROVIDER RELIEF,D,Special State Funds,1,1,HEALTH AND HUMAN SERVICES,58,Federal Medicaid Reimbursements,NA,NA,NA
2021,0793,478,0618,NA,NA,HEALTH AND HUMAN SERVICES,7530147882,NA,HEALTHCARE PROVIDER RELIEF,HEALTHCARE & FAMILY SERVICES,D,SPECIAL STATE FUNDS,0793,0793,0,NA,1,HEALTHCARE PROVIDER RELIEF,D,Special State Funds,1,1,HEALTH AND HUMAN SERVICES,58,Federal Medicaid Reimbursements,NA,NA,NA
2020,0793,478,0618,0,9999,HEALTH AND HUMAN SERVICES,5964844125,rev ioc 03.11.2020,HEALTHCARE PROVIDER RELIEF,HEALTHCARE & FAMILY SERVICES,NA,NA,0793,0793,0,NA,1,HEALTHCARE PROVIDER RELIEF,D,Special State Funds,1,1,HEALTH AND HUMAN SERVICES,58,Federal Medicaid Reimbursements,NA,NA,NA
2019,0793,478,0618,0,9999,HEALTH AND HUMAN SERVICES,4013251614,rev ioc 12.11.2019,HEALTHCARE PROVIDER RELIEF,HEALTHCARE & FAMILY SERVICES,NA,NA,0793,0793,0,NA,1,HEALTHCARE PROVIDER RELIEF,D,Special State Funds,1,1,HEALTH AND HUMAN SERVICES,58,Federal Medicaid Reimbursements,NA,NA,NA
2022,0001,478,0676,NA,NA,MEDICAL ASSISTANCE,3736634278,NA,GENERAL REVENUE,HEALTHCARE & FAMILY SERVICES,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,MEDICAL ASSISTANCE,58,Federal Medicaid Reimbursements,NA,NA,NA
2021,0001,478,0676,NA,NA,MEDICAL ASSISTANCE,3609424404,NA,GENERAL REVENUE,HEALTHCARE & FAMILY SERVICES,A,GENERAL FUNDS,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,MEDICAL ASSISTANCE,58,Federal Medicaid Reimbursements,NA,NA,NA
2020,0667,588,2178,0,9999,FEDERAL STIMULUS PACKAGE,3518945365.7,rev ioc 03.11.2020,DISASTER RESPONSE AND RECOVERY,IL EMERGENCY MANAGEMENT AGCY,NA,NA,0667,0667,0,NA,1,DISASTER RESPONSE AND RECOVERY,I,State Trust Funds,1,1,FEDERAL STIMULUS PACKAGE,57,Federal - Other,NA,NA,NA
2022,0561,586,0607,NA,NA,DEPARTMENT OF EDUCATION-FED,3363612990.26,NA,SBE FEDERAL DEPT OF EDUCATION,STATE BOARD OF EDUCATION,NA,NA,0561,0561,0,NA,1,SBE FEDERAL DEPT OF EDUCATION,G,Federal Trust Funds,1,1,DEPARTMENT OF EDUCATION-FED,57,Federal - Other,NA,NA,NA
2019,0001,478,0676,0,9999,MEDICAL ASSISTANCE,3025369990,rev ioc 12.11.2019,GENERAL REVENUE,HEALTHCARE & FAMILY SERVICES,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,MEDICAL ASSISTANCE,58,Federal Medicaid Reimbursements,NA,NA,NA
