Year,type,Category,Dollars,Category_name
1998,exp,402,214.77122968,Aging
1998,exp,406,73.50042594,Agriculture
1998,exp,416,423.60951816000005,Central Management
1998,exp,418,1289.5464607200001,Children And Family Services
1998,exp,420,463.81618836,Commerce And Economic Opportunity
1998,exp,422,194.89239396000002,Natural Resources
1998,exp,426,958.59698947,Corrections
1998,exp,427,175.75534396,Employment Security
1998,exp,444,3888.5689404600002,Human Services
1998,exp,478,109.58750706999999,Family Services Net Medicaid
1998,exp,482,158.4044241,Public Health
1998,exp,492,433.52268926,Revenue
1998,exp,494,1957.48413827,Transportation
1998,exp,532,307.81796487,Environmental Protect Agency
1998,exp,557,367.42032926,Il State Toll Highway Auth
1998,exp,901,939.68070473,State Pension Contribution
1998,exp,904,729.7605494300001,State Employee Healthcare
1998,exp,910,59.49046214,Legislative
1998,exp,920,262.75819552,Judicial
1998,exp,930,404.42575775,Elected Officers
1998,exp,941,426.30459976,Public Safety
1998,exp,944,149.87525119,Bus & Profession Regulation
1998,exp,945,5398.44057766,Medicaid
1998,exp,946,256.16808825,Capital Improvement
1998,exp,948,397.04004947,Other Departments
1998,exp,949,92.45354959999999,Other Boards & Commissions
1998,exp,959,5070.08825704,K-12 Education
1998,exp,960,2080.99206449,University Education
1998,exp,903,484.53383483,Debt Service
1998,exp,970,3476.47340622,Local Govt Transfers
1999,exp,402,235.903034,Aging
1999,exp,406,88.21554232000001,Agriculture
1999,exp,416,469.51687760000004,Central Management
1999,exp,418,1329.33597189,Children And Family Services
1999,exp,420,524.1481648399999,Commerce And Economic Opportunity
1999,exp,422,231.22826156,Natural Resources
1999,exp,426,1045.72673118,Corrections
1999,exp,427,176.34769749,Employment Security
1999,exp,444,4060.4600191600002,Human Services
1999,exp,478,114.69215114000001,Family Services Net Medicaid
1999,exp,482,165.10762511000001,Public Health
1999,exp,492,469.5347072,Revenue
1999,exp,494,1864.9061863099998,Transportation
1999,exp,532,316.94037436,Environmental Protect Agency
1999,exp,557,461.11222988,Il State Toll Highway Auth
1999,exp,901,1171.6711626800002,State Pension Contribution
1999,exp,904,779.0175351800001,State Employee Healthcare
1999,exp,910,62.18552442,Legislative
1999,exp,920,289.35690238,Judicial
1999,exp,930,431.66406508,Elected Officers
1999,exp,941,446.14314328,Public Safety
1999,exp,944,160.54919709,Bus & Profession Regulation
1999,exp,945,5767.25773417,Medicaid
1999,exp,946,399.97357301,Capital Improvement
1999,exp,948,371.63682897,Other Departments
1999,exp,949,104.39273953,Other Boards & Commissions
1999,exp,959,5589.444159279999,K-12 Education
1999,exp,960,2185.2223170300003,University Education
1999,exp,903,507.52762319,Debt Service
1999,exp,970,4031.5164429099996,Local Govt Transfers
2000,exp,402,260.62614194,Aging
2000,exp,406,103.06928779,Agriculture
2000,exp,416,483.39344232999997,Central Management
2000,exp,418,1341.532393,Children And Family Services
2000,exp,420,704.6414518500001,Commerce And Economic Opportunity
2000,exp,422,271.14357793,Natural Resources
2000,exp,426,1127.0670121800001,Corrections
2000,exp,427,180.8863797,Employment Security
2000,exp,444,4167.302961949999,Human Services
2000,exp,478,134.93282343,Family Services Net Medicaid
2000,exp,482,180.39286230000002,Public Health
2000,exp,492,489.42467616000005,Revenue
2000,exp,494,2448.11467302,Transportation
2000,exp,532,355.48955874,Environmental Protect Agency
2000,exp,557,434.67865002999997,Il State Toll Highway Auth
2000,exp,901,1270.36618828,State Pension Contribution
2000,exp,904,927.48653323,State Employee Healthcare
2000,exp,910,67.9300845,Legislative
2000,exp,920,325.18163279000004,Judicial
2000,exp,930,478.96996614999995,Elected Officers
2000,exp,941,469.34207338,Public Safety
2000,exp,944,132.74381784,Bus & Profession Regulation
2000,exp,945,6442.31650401,Medicaid
2000,exp,946,828.4629936900001,Capital Improvement
2000,exp,948,376.04716161,Other Departments
2000,exp,949,129.04312993000002,Other Boards & Commissions
2000,exp,959,6026.2937197,K-12 Education
2000,exp,960,2281.1114653,University Education
2000,exp,903,543.84052911,Debt Service
2000,exp,970,4366.14101383,Local Govt Transfers
2001,exp,402,283.86681541,Aging
2001,exp,406,114.71194993,Agriculture
2001,exp,416,489.33116483,Central Management
2001,exp,418,1357.07671015,Children And Family Services
2001,exp,420,763.42163682,Commerce And Economic Opportunity
2001,exp,422,311.92955897,Natural Resources
2001,exp,426,1201.67905289,Corrections
2001,exp,427,282.39225598,Employment Security
2001,exp,444,4484.1033765600005,Human Services
2001,exp,478,133.86301818,Family Services Net Medicaid
2001,exp,482,222.12913584,Public Health
2001,exp,492,844.53331392,Revenue
2001,exp,494,2683.11550823,Transportation
2001,exp,532,389.15989298,Environmental Protect Agency
2001,exp,557,346.13919503,Il State Toll Highway Auth
2001,exp,901,1387.90332889,State Pension Contribution
2001,exp,904,1000.12568813,State Employee Healthcare
2001,exp,910,73.03187406,Legislative
2001,exp,920,335.15047582,Judicial
2001,exp,930,547.9304426599999,Elected Officers
2001,exp,941,491.32241862,Public Safety
2001,exp,944,144.59392472,Bus & Profession Regulation
2001,exp,945,7187.341484529999,Medicaid
2001,exp,946,890.31182376,Capital Improvement
2001,exp,948,382.68138056,Other Departments
2001,exp,949,137.58000557,Other Boards & Commissions
2001,exp,959,6391.72170938,K-12 Education
2001,exp,960,2425.9814376100003,University Education
2001,exp,903,590.04423966,Debt Service
2001,exp,970,4471.93355919,Local Govt Transfers
2002,exp,402,297.38686848000003,Aging
2002,exp,406,115.46288658,Agriculture
2002,exp,416,485.2488773,Central Management
2002,exp,418,1344.7420498800002,Children And Family Services
2002,exp,420,811.33504932,Commerce And Economic Opportunity
2002,exp,422,352.02856152,Natural Resources
2002,exp,426,1257.93671002,Corrections
2002,exp,427,340.08747237,Employment Security
2002,exp,444,4495.541986159999,Human Services
2002,exp,478,140.61213985999998,Family Services Net Medicaid
2002,exp,482,265.6472456,Public Health
2002,exp,492,706.85423597,Revenue
2002,exp,494,3187.28685106,Transportation
2002,exp,532,466.59616722000004,Environmental Protect Agency
2002,exp,557,392.74387821,Il State Toll Highway Auth
2002,exp,901,1507.05409953,State Pension Contribution
2002,exp,904,1061.93568766,State Employee Healthcare
2002,exp,910,78.64442212,Legislative
2002,exp,920,366.72732849,Judicial
2002,exp,930,570.45941158,Elected Officers
2002,exp,941,489.28525106,Public Safety
2002,exp,944,145.88579854,Bus & Profession Regulation
2002,exp,945,7291.78917015,Medicaid
2002,exp,946,1149.63130224,Capital Improvement
2002,exp,948,365.11791098000003,Other Departments
2002,exp,949,141.65180003999998,Other Boards & Commissions
2002,exp,959,6631.720569550001,K-12 Education
2002,exp,960,2673.18283949,University Education
2002,exp,903,640.25704888,Debt Service
2002,exp,970,4300.10066935,Local Govt Transfers
2003,exp,402,303.9372733,Aging
2003,exp,406,90.39480834999999,Agriculture
2003,exp,416,492.77463824,Central Management
2003,exp,418,1281.91899851,Children And Family Services
2003,exp,420,829.50182164,Commerce And Economic Opportunity
2003,exp,422,316.20991506,Natural Resources
2003,exp,426,1173.4439894500001,Corrections
2003,exp,427,377.17937207,Employment Security
2003,exp,444,4410.23100287,Human Services
2003,exp,478,297.952754,Family Services Net Medicaid
2003,exp,482,241.49119933,Public Health
2003,exp,492,560.9177307799999,Revenue
2003,exp,494,3256.09034136,Transportation
2003,exp,532,463.18215679,Environmental Protect Agency
2003,exp,557,360.73293909,Il State Toll Highway Auth
2003,exp,901,1662.01432424,State Pension Contribution
2003,exp,904,1314.7476423,State Employee Healthcare
2003,exp,910,72.29653344,Legislative
2003,exp,920,360.69802439999995,Judicial
2003,exp,930,551.0364459299999,Elected Officers
2003,exp,941,502.22038373000004,Public Safety
2003,exp,944,144.80324072,Bus & Profession Regulation
2003,exp,945,7900.568223480001,Medicaid
2003,exp,946,1075.84106993,Capital Improvement
2003,exp,948,370.89420545,Other Departments
2003,exp,949,90.14081893000001,Other Boards & Commissions
2003,exp,959,6692.487175310001,K-12 Education
2003,exp,960,2569.1776385300004,University Education
2003,exp,903,731.2021835500001,Debt Service
2003,exp,970,4119.48820917,Local Govt Transfers
2004,exp,402,313.84670726,Aging
2004,exp,406,82.17877873,Agriculture
2004,exp,416,579.1402208,Central Management
2004,exp,418,1251.76522313,Children And Family Services
2004,exp,420,925.8957514800001,Commerce And Economic Opportunity
2004,exp,422,275.85093077,Natural Resources
2004,exp,426,1195.33124447,Corrections
2004,exp,427,207.6243794,Employment Security
2004,exp,444,4599.62862316,Human Services
2004,exp,478,288.24236038,Family Services Net Medicaid
2004,exp,482,264.28352049,Public Health
2004,exp,492,830.82618297,Revenue
2004,exp,494,2971.58746131,Transportation
2004,exp,532,560.91563637,Environmental Protect Agency
2004,exp,557,417.18865935,Il State Toll Highway Auth
2004,exp,901,9133.61786058,State Pension Contribution
2004,exp,904,1431.56501696,State Employee Healthcare
2004,exp,910,72.56537508,Legislative
2004,exp,920,355.85573671,Judicial
2004,exp,930,522.82097694,Elected Officers
2004,exp,941,473.33190695999997,Public Safety
2004,exp,944,136.70617899,Bus & Profession Regulation
2004,exp,945,10061.413063850001,Medicaid
2004,exp,946,833.46807446,Capital Improvement
2004,exp,948,92.13557883,Other Departments
2004,exp,949,85.07983468,Other Boards & Commissions
2004,exp,959,7127.60129257,K-12 Education
2004,exp,960,2390.5662340999997,University Education
2004,exp,903,1288.58426201,Debt Service
2004,exp,970,4256.60560819,Local Govt Transfers
2005,exp,402,402.26486306,Aging
2005,exp,406,71.36042595,Agriculture
2005,exp,416,709.78172758,Central Management
2005,exp,418,1209.53077992,Children And Family Services
2005,exp,420,421.60696681,Commerce And Economic Opportunity
2005,exp,422,238.98210637,Natural Resources
2005,exp,426,1172.78274506,Corrections
2005,exp,427,190.33150361,Employment Security
2005,exp,444,4687.61580896,Human Services
2005,exp,478,475.79135018,Family Services Net Medicaid
2005,exp,482,288.15293704000004,Public Health
2005,exp,492,712.5914199299999,Revenue
2005,exp,494,2626.02761057,Transportation
2005,exp,532,379.32073474000003,Environmental Protect Agency
2005,exp,557,479.32018221,Il State Toll Highway Auth
2005,exp,901,1853.29860321,State Pension Contribution
2005,exp,904,1522.69660054,State Employee Healthcare
2005,exp,910,73.66496575,Legislative
2005,exp,920,368.38813488,Judicial
2005,exp,930,529.00482915,Elected Officers
2005,exp,941,530.55712807,Public Safety
2005,exp,944,172.29334942,Bus & Profession Regulation
2005,exp,945,9529.546222559999,Medicaid
2005,exp,946,581.60258988,Capital Improvement
2005,exp,948,90.52925464,Other Departments
2005,exp,949,92.09652734999999,Other Boards & Commissions
2005,exp,959,7572.67212166,K-12 Education
2005,exp,960,2354.89775299,University Education
2005,exp,903,1351.8173164500001,Debt Service
2005,exp,970,4674.178671850001,Local Govt Transfers
2006,exp,402,420.41528929000003,Aging
2006,exp,406,82.08503561,Agriculture
2006,exp,416,689.36482638,Central Management
2006,exp,418,1227.4817698999998,Children And Family Services
2006,exp,420,593.88780962,Commerce And Economic Opportunity
2006,exp,422,240.90985131,Natural Resources
2006,exp,426,1187.3052301500002,Corrections
2006,exp,427,200.49340141,Employment Security
2006,exp,444,4810.77716171,Human Services
2006,exp,478,719.9213894400001,Family Services Net Medicaid
2006,exp,482,293.31122662,Public Health
2006,exp,492,830.61384794,Revenue
2006,exp,494,2762.87048777,Transportation
2006,exp,532,376.86206382,Environmental Protect Agency
2006,exp,557,1073.7547139,Il State Toll Highway Auth
2006,exp,901,1062.2737355499999,State Pension Contribution
2006,exp,904,1622.83187374,State Employee Healthcare
2006,exp,910,76.02374542,Legislative
2006,exp,920,334.85299815999997,Judicial
2006,exp,930,587.78287936,Elected Officers
2006,exp,941,599.67514171,Public Safety
2006,exp,944,179.97384079,Bus & Profession Regulation
2006,exp,945,10465.75244916,Medicaid
2006,exp,946,492.8022843,Capital Improvement
2006,exp,948,93.62007820000001,Other Departments
2006,exp,949,159.00272721000002,Other Boards & Commissions
2006,exp,959,7876.77796471,K-12 Education
2006,exp,960,2381.2559651399997,University Education
2006,exp,903,1415.45327269,Debt Service
2006,exp,970,5203.7770244,Local Govt Transfers
2007,exp,402,488.15850058999996,Aging
2007,exp,406,83.02159876,Agriculture
2007,exp,416,709.1554693400001,Central Management
2007,exp,418,1242.99745841,Children And Family Services
2007,exp,420,598.70945498,Commerce And Economic Opportunity
2007,exp,422,261.78456206,Natural Resources
2007,exp,426,1124.85810214,Corrections
2007,exp,427,189.15823021,Employment Security
2007,exp,444,4893.276761939999,Human Services
2007,exp,478,675.80722333,Family Services Net Medicaid
2007,exp,482,325.93120524,Public Health
2007,exp,492,846.4447829599999,Revenue
2007,exp,494,3000.98608659,Transportation
2007,exp,532,415.50830613,Environmental Protect Agency
2007,exp,557,1432.8793855899999,Il State Toll Highway Auth
2007,exp,901,1496.87015163,State Pension Contribution
2007,exp,904,1751.62380245,State Employee Healthcare
2007,exp,910,81.61220353,Legislative
2007,exp,920,344.75798605,Judicial
2007,exp,930,642.0193064700001,Elected Officers
2007,exp,941,738.96151491,Public Safety
2007,exp,944,201.99113531,Bus & Profession Regulation
2007,exp,945,11198.462198,Medicaid
2007,exp,946,388.85284561000003,Capital Improvement
2007,exp,948,102.69416896,Other Departments
2007,exp,949,145.36909392,Other Boards & Commissions
2007,exp,959,8269.43109392,K-12 Education
2007,exp,960,2484.90532024,University Education
2007,exp,903,1417.2083298799998,Debt Service
2007,exp,970,5578.12285448,Local Govt Transfers
2008,exp,402,526.5490850399999,Aging
2008,exp,406,83.92208075,Agriculture
2008,exp,416,721.63208492,Central Management
2008,exp,418,1238.43819298,Children And Family Services
2008,exp,420,438.17461413,Commerce And Economic Opportunity
2008,exp,422,236.95390063999997,Natural Resources
2008,exp,426,1170.37258852,Corrections
2008,exp,427,193.05941675,Employment Security
2008,exp,444,5104.35728531,Human Services
2008,exp,478,686.19588115,Family Services Net Medicaid
2008,exp,482,349.61818869999996,Public Health
2008,exp,492,845.79959386,Revenue
2008,exp,494,2796.8138719000003,Transportation
2008,exp,532,396.79449946,Environmental Protect Agency
2008,exp,557,1587.69669403,Il State Toll Highway Auth
2008,exp,901,2099.29252033,State Pension Contribution
2008,exp,904,1789.66790126,State Employee Healthcare
2008,exp,910,80.04367520999999,Legislative
2008,exp,920,355.69190012,Judicial
2008,exp,930,655.35680036,Elected Officers
2008,exp,941,743.47594039,Public Safety
2008,exp,944,199.32421862,Bus & Profession Regulation
2008,exp,945,12699.20047202,Medicaid
2008,exp,946,261.10366582,Capital Improvement
2008,exp,948,110.74066038,Other Departments
2008,exp,949,118.80997533,Other Boards & Commissions
2008,exp,959,8877.81716739,K-12 Education
2008,exp,960,2519.23782579,University Education
2008,exp,903,1414.2337261,Debt Service
2008,exp,970,5873.26115267,Local Govt Transfers
2009,exp,402,605.8792386499999,Aging
