Sum of receipts,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Grand Total
2,7269483897,7787107796,8273208455,8607154263,8086052690,7979473807,8236113217,8872485292,9567983140,10428290545,11188605167,10220619077,9433244291,12301775252,16999792813,18323791286,18387662885,17682017991,15300996845,15384852963,20785056025,22604190772,21659326048,26351839583,29137061294,27891121472,3.78759E+11
5% IND INCOME TAX CASH RECPTS,,,,,,,,,,,,,,,,,,365228.6,245134.2,491903.88,609096.24,595857.6,1200583.92,1513358.88,503728.44,649271.52,6174163.28
HOUSELHOLD PAYROLL,,,,,,,,,,,,,6263997.77,13847593.75,18141719.38,17403896.07,16836325.25,15745811.48,14454644.18,14682473.96,19052214.47,22523100.88,24401169.81,27198511.22,30741678.17,32574531.15,273867667.5
IL WITHHOLDING TAX REFUND,,,,,,,,,,,,,,,,,,,,,51688.94,26403.31,12845.07,,2090.22,,93027.54
INDIV. INCOME TAX AMNESTY,,,,,,,40156054.31,,,,,,,40869219.69,,,,,,,,,,,,,81025274
INDIV. INCOME TAX PASS-THROUGH,,,,,,,,,,,,,,,,,,,,456054270.3,519246092.7,719527162.1,606025719.6,767505751.2,2512055513,2265347047,7845761556
INDIVIDUAL,7269483897,7787107796,8273208455,8607154263,8086052690,7979473807,8195957163,8872485292,9567983140,10428290545,11188605167,10220619077,9426980293,12247058438,16981651093,18306387390,18370826560,17665906951,15286297067,14913624315,20246096933,21861518248,21027685730,25555621961,26593758284,25592550623,3.70552E+11
3,2308910778,2330378239,2567865741,2245211583,1828105247,1775043142,2442002716,2657740363,3038418962,3618352978,3749721989,3363243336,2686684873,3657213167,4233143575,5171995657,5121575490,4746244719,3844669974,3322181440,4189244661,4723501549,4249552964,6970651871,11799394858,12272388318,1.08913E+11
5% CORP INCOME TAX CASH RECPT,,,,,,,,,,,,,,,,,,,3593017.8,4128738.84,3405942,4288006.68,3029536.2,5428921.2,1611329.4,1782732.72,27268224.84
5% INCOME TAX CASH RECEIPTS,,,,,,,,,,,,,,,,,,2579400.7,,,,,,,,,2579400.7
